"TIV of arms exports to Saudi Arabia, 2000-2022",,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 02 December 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Austria,,,,,,,,,,,2,,,,,4,4,,,,,,,9
Belgium,1,14,14,15,47,,7,,,,,7,21,21,10,,,,,55,24,26,8,269
Brazil,,,,,,,,,,,,,,,,,11,,,,,,,11
Bulgaria,,,,,,,,,,,,,,,,8,1,15,,,,,,24
Canada,20,6,5,6,18,,9,13,11,4,,35,42,35,44,111,11,10,54,144,49,58,57,740
China,,,,,,,,,36,36,,,,,,35,35,55,81,40,40,65,,423
Finland,,,,,,,,,,,,,4,4,7,7,,,,,,,,22
France,25,7,368,22,754,1,4,23,23,29,87,183,221,64,263,357,77,131,149,223,159,137,188,3492
Georgia,,,,,,,,,,,,,,,,,6,7,,,,,,13
Germany,1,1,1,1,1,1,,,,,11,72,79,80,63,3,17,125,141,,,,63,658
Italy,,,83,,6,,,15,15,15,,,1,,,89,89,48,,,,,8,368
Netherlands,,,,,,,,,,,,13,25,25,25,25,,,,,,,,113
Pakistan,,,,,,4,,,,,,,,,,,,,,,,,,4
Russia,,,,,,,,,,,,,,,,,,,,12,,,,12
Serbia,,,,,,,,,,,,,,,,4,17,2,,,,,,23
Slovakia,,,,,,,,,,,,,,1,0,3,3,,,1,1,,,9
South Africa,,,,,,,6,7,1,,,4,,,1,7,3,9,1,4,3,,,46
South Korea,,,,,,,,,,,,,,,,,,,3,,,,3,6
Spain,,,,,,,,,,,,,,,,13,,13,44,,20,,592,681
Sweden,,,,,,,,,,,3,3,,,160,,,,,,,,,166
Switzerland,,,,,,,,,,10,40,40,,,85,145,45,,,10,,,,375
Turkiye,,,,,15,8,8,20,26,26,29,33,33,44,39,52,39,13,,,5,5,5,398
Ukraine,,,,,,,,,,,,,,,,,,,28,56,,11,,95
United Kingdom,35,,,,,,,,29,463,555,390,115,647,623,758,825,392,61,85,60,120,9,5166
United States,2,32,89,117,323,151,171,149,247,243,366,394,391,605,1423,1768,1765,3101,2716,2855,2131,1318,1320,21676
unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,84,60,560,160,1163,166,205,227,387,825,1093,1172,930,1526,2743,3389,2947,3920,3276,3484,2491,1739,2272,34819
